nr	P	Pdb	h	a	a_occ	R	time	R_ref
#iterations=10 pstart=0 pend=2 pnum=200 L=4 Ku=4 time_scale=100
0	 1.00	 0.00	std	[ 0.  0.  0.  1.]	4	 0.54	 2722.40	 0.39
				[ 1. -0.  0. -0.]	1			
				[-0.  0. -0. -1.]	1			
				[-1.  1. -0. -0.]	1			
				[-0. -1.  0. -0.]	1			
				[ 0.  0.  1.  0.]	1			
				[ 1.  0.  0. -1.]	1			
1	 1.02	 0.10	std	[-0. -0. -1. -0.]	3	 0.33	 5680.06	 0.16
				[ 0.  1. -0.  0.]	2			
				[-0. -1.  0. -0.]	2			
				[ 1. -1. -0. -0.]	1			
				[-1. -0. -0.  0.]	1			
				[ 0.  0.  1. -0.]	1			
2	 1.05	 0.20	std	[ 0.  0. -1.  0.]	5	 0.37	 5.17	 0.22
				[ 0.  1. -0.  0.]	1			
				[ 0. -1. -0. -1.]	1			
				[ 1. -0.  0.  0.]	1			
				[-1.  0.  1.  0.]	1			
				[-1. -0. -0.  0.]	1			
3	 1.07	 0.30	std	[ 1.  0. -0. -0.]	2	 0.53	 1.93	 0.21
				[-0.  1. -0.  0.]	2			
				[-0. -0. -0.  1.]	2			
				[-0.  1. -0.  1.]	1			
				[ 0.  0. -1.  0.]	1			
				[ 1. -1. -0. -0.]	1			
				[-1.  0.  1.  0.]	1			
4	 1.10	 0.40	std	[-0.  1. -0.  0.]	4	 0.55	 2.06	 0.27
				[-1. -0.  0.  0.]	1			
				[-0.  0. -1.  0.]	1			
				[ 1. -0.  0. -1.]	1			
				[ 0. -0.  1.  0.]	1			
				[-0. -0. -0. -1.]	1			
				[ 1. -1. -0.  0.]	1			
5	 1.12	 0.50	std	[ 1. -0.  0.  0.]	3	 0.48	 1.99	 0.22
				[ 0.  0. -0. -1.]	2			
				[-0.  0.  1.  0.]	2			
				[-0.  1. -1.  1.]	1			
				[-1.  0.  0. -0.]	1			
				[-0.  1.  0. -0.]	1			
6	 1.15	 0.60	std	[ 1. -0.  0. -0.]	3	 0.45	 1.87	 0.20
				[-0. -1. -0. -1.]	1			
				[-0. -0.  1.  0.]	1			
				[-0. -1. -0. -0.]	1			
				[-1.  0.  0.  1.]	1			
				[-0.  0. -1.  0.]	1			
				[ 0.  1.  0.  0.]	1			
				[-1.  1.  1. -0.]	1			
7	 1.18	 0.70	std	[-0.  1.  0. -0.]	3	 0.55	 2.00	 0.18
				[-1. -0.  0.  0.]	2			
				[-1. -0.  1. -0.]	1			
				[ 1. -0.  0. -0.]	1			
				[-0.  0. -1. -0.]	1			
				[-0.  1. -0.  1.]	1			
				[ 0. -0.  1. -0.]	1			
8	 1.20	 0.80	std	[ 0.  1.  0. -0.]	2	 0.61	 1.87	 0.23
				[-1. -0. -0. -0.]	2			
				[ 1.  0.  0.  0.]	1			
				[ 0. -0.  1.  0.]	1			
				[ 0. -1.  0. -0.]	1			
				[ 0.  1.  1.  0.]	1			
				[-0.  0. -1. -0.]	1			
				[ 1. -0. -1. -0.]	1			
9	 1.23	 0.90	std	[-1. -0. -0.  0.]	3	 0.33	 1.67	 0.20
				[-0.  0.  0.  1.]	2			
				[ 0. -0. -1.  0.]	1			
				[-0.  1. -0.  0.]	1			
				[ 0.  0.  0. -1.]	1			
				[ 0.  0.  1. -0.]	1			
				[-1. -0.  0.  1.]	1			
10	 1.26	 1.01	std	[-1.  0. -0.  0.]	2	 0.54	 2.05	 0.19
				[ 0. -1. -0. -0.]	1			
				[ 0.  1. -0.  0.]	1			
				[-0. -0. -0. -1.]	1			
				[ 0.  0.  1.  1.]	1			
				[-0.  1.  0.  1.]	1			
				[ 1. -0.  0. -0.]	1			
				[ 0.  0. -1. -1.]	1			
				[ 1. -0.  1.  0.]	1			
11	 1.29	 1.11	std	[ 1. -0.  0. -0.]	2	 0.54	 2.02	 0.18
				[ 0. -0. -1.  0.]	2			
				[-0.  0. -0.  1.]	2			
				[-0. -0.  1.  0.]	1			
				[-0. -0.  0. -1.]	1			
				[-1.  1.  1. -1.]	1			
				[-0. -1.  0. -0.]	1			
12	 1.32	 1.21	std	[-0.  0.  0. -1.]	2	 0.72	 2.05	 0.10
				[ 0. -0. -1. -0.]	2			
				[-1.  0. -0.  0.]	2			
				[-0.  0.  1. -0.]	1			
				[-0.  1.  0.  0.]	1			
				[ 0. -1. -1.  0.]	1			
				[ 1.  0.  0. -0.]	1			
13	 1.35	 1.31	std	[-1. -0.  0. -0.]	2	 0.47	 1.94	 0.14
				[-0. -0. -0. -1.]	2			
				[-0. -0.  0.  1.]	2			
				[ 1. -0. -0. -1.]	1			
				[-0.  0. -1. -0.]	1			
				[ 0. -0.  1. -0.]	1			
				[ 0. -1. -0. -0.]	1			
14	 1.38	 1.41	std	[ 0.  1. -0. -0.]	2	 0.61	 2.04	 0.20
				[-0.  0.  0.  1.]	2			
				[-1.  1.  0. -0.]	1			
				[ 1.  0.  1. -0.]	1			
				[-0. -1. -0.  0.]	1			
				[ 0. -0. -1. -0.]	1			
				[-0.  1. -1. -0.]	1			
				[ 1. -0.  0. -1.]	1			
15	 1.41	 1.51	std	[ 0. -0.  1.  0.]	3	 0.51	 1.87	 0.26
				[-1.  0.  0.  0.]	2			
				[-0.  0. -1.  0.]	2			
				[ 1.  0. -0.  0.]	1			
				[-0.  0.  0. -1.]	1			
				[ 0. -0. -0.  1.]	1			
16	 1.45	 1.61	std	[-0.  0.  0. -1.]	2	 0.55	 1.98	 0.18
				[-1. -0. -0.  0.]	2			
				[-0. -1.  1. -0.]	1			
				[-0.  0. -0.  1.]	1			
				[-0. -1.  0.  0.]	1			
				[-0. -0.  1. -0.]	1			
				[-1.  0.  1. -1.]	1			
				[-0.  1. -0.  0.]	1			
17	 1.48	 1.71	std	[ 0.  0. -1. -0.]	2	 0.41	 1.86	 0.18
				[-0. -0. -0.  1.]	2			
				[-0.  1.  0.  0.]	2			
				[-1. -0.  0.  0.]	1			
				[-0. -0.  1. -0.]	1			
				[ 0. -1. -0.  0.]	1			
				[ 1.  1.  0. -1.]	1			
18	 1.52	 1.81	std	[ 0. -0. -1.  0.]	1	 0.57	 2.10	 0.18
				[-0.  0.  1. -0.]	1			
				[ 0. -1.  0. -1.]	1			
				[ 1.  0. -0. -0.]	1			
				[ 0. -1.  0.  1.]	1			
				[ 0.  0.  0. -1.]	1			
				[-0. -1. -1. -0.]	1			
				[ 0.  1. -0.  1.]	1			
				[-1. -0. -0.  0.]	1			
				[ 0.  0. -0.  1.]	1			
19	 1.55	 1.91	std	[ 0.  0. -0.  1.]	2	 0.63	 2.01	 0.21
				[-1.  0.  0. -0.]	2			
				[ 0.  0. -0. -1.]	1			
				[-0.  0.  1.  1.]	1			
				[-1. -1. -0.  0.]	1			
				[ 1.  0. -0.  0.]	1			
				[ 0. -1.  1.  1.]	1			
				[ 0.  0. -1. -0.]	1			
20	 1.59	 2.01	std	[ 1. -0.  0. -0.]	2	 0.59	 2.10	 0.16
				[-0. -0. -0.  1.]	1			
				[-0. -0. -1. -0.]	1			
				[ 0. -1. -0. -0.]	1			
				[ 0. -1.  1.  0.]	1			
				[-0.  1. -0. -1.]	1			
				[ 1. -0. -1.  0.]	1			
				[ 0. -0.  0. -1.]	1			
				[ 0.  1.  0. -0.]	1			
21	 1.63	 2.11	std	[-0.  0.  0. -1.]	2	 0.53	 1.91	 0.32
				[-0.  0.  0.  1.]	2			
				[-0. -0. -1.  0.]	1			
				[ 0. -1.  0.  0.]	1			
				[ 1. -0. -0.  0.]	1			
				[-1. -1.  1. -1.]	1			
				[-0. -0.  1. -0.]	1			
				[-1.  0. -1. -1.]	1			
22	 1.66	 2.21	std	[-0.  0. -0. -1.]	2	 0.53	 1.88	 0.14
				[ 1.  0. -0.  0.]	2			
				[ 0. -1.  1. -0.]	1			
				[ 0.  1.  0.  0.]	1			
				[ 0.  0.  1.  0.]	1			
				[-1. -0. -1. -1.]	1			
				[-0. -0.  0.  1.]	1			
				[-0.  0. -1. -0.]	1			
23	 1.70	 2.31	std	[ 0. -0.  0.  1.]	2	 0.64	 2.23	 0.28
				[-0.  0. -1.  0.]	1			
				[-0. -1. -0.  0.]	1			
				[ 1. -0. -0.  1.]	1			
				[-0. -0.  1. -0.]	1			
				[ 1.  0.  1. -1.]	1			
				[ 1.  1.  0. -1.]	1			
				[ 1.  0.  0.  0.]	1			
				[-1. -0.  0. -0.]	1			
24	 1.74	 2.41	std	[-1.  0. -0.  0.]	2	 0.44	 1.84	 0.13
				[ 0. -0. -0. -1.]	2			
				[-0.  1. -0. -0.]	2			
				[-0. -1.  0.  0.]	2			
				[ 0. -0.  0.  1.]	1			
				[-0.  0. -1. -0.]	1			
25	 1.78	 2.51	std	[-1. -0.  0.  0.]	2	 0.53	 2.20	 0.21
				[-0. -1. -0.  0.]	2			
				[-0.  0.  0.  1.]	1			
				[ 0. -0.  0. -1.]	1			
				[-0.  2. -1. -1.]	1			
				[ 1. -1. -0.  0.]	1			
				[-0.  1. -1. -0.]	1			
				[-0.  1.  0.  0.]	1			
26	 1.83	 2.61	std	[ 0. -1. -0. -0.]	3	 0.55	 2.18	 0.25
				[-0. -0. -1.  0.]	2			
				[ 0.  1.  1.  0.]	1			
				[-0. -0. -0.  1.]	1			
				[ 0. -1. -1.  0.]	1			
				[ 1. -1. -2. -1.]	1			
				[-0.  0.  0. -1.]	1			
27	 1.87	 2.71	std	[ 0. -1.  0. -0.]	3	 0.53	 1.99	 0.20
				[ 0.  0.  0.  1.]	1			
				[ 1.  0.  1.  0.]	1			
				[-0.  0. -1.  0.]	1			
				[ 1. -0. -1. -0.]	1			
				[-1. -0. -1. -1.]	1			
				[-0.  1.  0.  0.]	1			
				[ 1.  0.  0.  1.]	1			
28	 1.91	 2.81	std	[-0.  1.  0. -0.]	2	 0.56	 2.20	 0.21
				[ 0. -0. -1. -0.]	2			
				[ 0.  0.  1.  0.]	1			
				[-1.  0.  0. -0.]	1			
				[ 1.  0.  0.  1.]	1			
