nr	P	Pdb	h	a	a_occ	R	time	R_ref
#iterations=10 pstart=0 pend=2 pnum=200 L=4 Ku=4 time_scale=100
				[ 1. -0.  0.  1.]	1			
				[ 0.  1. -0. -1.]	1			
				[ 0. -1. -0. -0.]	1			
19	 1.55	 1.91	std	[ 0. -0. -1.  0.]	2	 0.46	 0.30	 0.21
				[ 1.  0.  0.  0.]	2			
				[-0.  1. -1.  0.]	1			
				[ 0.  0.  1. -1.]	1			
				[-0.  0. -0. -1.]	1			
				[-1. -1. -0. -0.]	1			
				[ 0.  0.  1.  0.]	1			
				[-1. -1.  2.  1.]	1			
20	 1.59	 2.01	std	[-1. -0.  0. -0.]	2	 0.60	 0.31	 0.22
				[-0. -0. -1.  0.]	1			
				[ 1. -0.  0.  0.]	1			
				[-1.  1.  1.  0.]	1			
				[-1. -1. -1.  1.]	1			
				[ 0. -0. -0. -1.]	1			
				[-0.  0.  0.  1.]	1			
				[ 0. -1. -0. -0.]	1			
				[-0. -1. -1.  0.]	1			
21	 1.63	 2.11	std	[-0. -0.  0.  1.]	3	 0.58	 0.30	 0.30
				[-1. -1.  0. -0.]	1			
				[-0. -0. -1. -1.]	1			
				[-1.  0. -0. -0.]	1			
				[ 1.  0.  0. -0.]	1			
				[-0.  1.  0. -0.]	1			
				[ 0. -0. -1. -0.]	1			
				[-0. -1. -0. -0.]	1			
22	 1.66	 2.21	std	[ 0.  0.  1. -0.]	3	 0.51	 0.31	 0.32
				[-0.  0.  0.  1.]	2			
				[-0. -0. -1. -1.]	1			
				[-0. -1.  0.  0.]	1			
				[ 0. -1.  1.  1.]	1			
				[-0. -0. -1.  0.]	1			
				[-1. -0. -0. -1.]	1			
23	 1.70	 2.31	std	[ 1. -0.  0.  0.]	3	 0.61	 0.33	 0.29
				[-0.  0. -0.  1.]	3			
				[-0. -0.  1. -0.]	2			
				[ 1. -0.  0. -1.]	1			
				[ 1.  1.  0.  0.]	1			
24	 1.74	 2.41	std	[-0. -0.  1. -0.]	2	 0.63	 0.32	 0.26
				[-0.  0.  0.  1.]	2			
				[ 0. -1.  0.  1.]	1			
				[ 0.  1.  0.  0.]	1			
				[-0. -1. -0. -0.]	1			
				[-0.  0. -1.  0.]	1			
				[-1. -1. -0. -0.]	1			
				[ 1. -0.  0.  0.]	1			
25	 1.78	 2.51	std	[-0. -0.  0. -1.]	2	 0.60	 0.31	 0.30
				[-1.  0.  0. -0.]	1			
				[-1.  0.  1.  0.]	1			
				[-0. -0. -0.  1.]	1			
				[ 1.  0.  0.  1.]	1			
				[-1. -1.  0.  0.]	1			
				[ 0.  1.  1.  1.]	1			
				[ 0.  0.  1. -0.]	1			
				[ 1. -0.  0. -1.]	1			
26	 1.83	 2.61	std	[-0. -0.  0. -1.]	2	 0.58	 0.31	 0.34
				[-0. -0. -1.  0.]	2			
				[-0.  0. -0.  1.]	1			
				[ 1.  0.  0.  0.]	1			
				[ 0.  1.  1.  0.]	1			
				[ 1. -0.  0. -1.]	1			
				[-0.  1. -0.  0.]	1			
				[-0. -1.  0.  0.]	1			
27	 1.87	 2.71	std	[-0. -0.  0. -1.]	3	 0.56	 0.34	 0.23
				[-0.  0. -1.  1.]	1			
				[ 1. -0. -0.  0.]	1			
				[-1.  0.  1.  1.]	1			
				[-0.  1.  1. -0.]	1			
				[ 0. -1.  1. -1.]	1			
				[ 1.  1. -2.  1.]	1			
				[ 1.  0. -1.  0.]	1			
28	 1.91	 2.81	std	[-0.  0.  1. -0.]	2	 0.57	 0.33	 0.31
				[-0.  0. -1. -0.]	2			
				[-1.  0.  0. -0.]	1			
				[-0.  1.  0.  0.]	1			
				[ 1.  1. -2.  1.]	1			
				[ 1. -0.  0. -0.]	1			
				[ 0. -1. -0.  0.]	1			
				[ 0.  0. -0. -1.]	1			
29	 1.96	 2.91	std	[ 1.  0. -0.  0.]	3	 0.71	 0.34	 0.33
				[ 0. -0.  0.  1.]	2			
				[ 0. -1.  0. -1.]	1			
				[ 0. -0. -1. -1.]	1			
				[ 1. -1.  0.  0.]	1			
				[-0. -1.  0.  0.]	1			
				[ 0.  1.  0. -1.]	1			
30	 2.00	 3.02	std	[-0.  0. -1. -0.]	3	 0.72	 0.35	 0.32
				[-0. -0.  0.  1.]	2			
				[ 0.  1. -1.  0.]	2			
				[ 1.  1. -0.  0.]	1			
				[ 0.  1. -0.  0.]	1			
				[-0.  1.  1. -1.]	1			
31	 2.05	 3.12	std	[ 1.  1.  0. -0.]	1	 0.51	 0.33	 0.09
				[-0.  1. -1. -1.]	1			
				[ 1. -0. -0.  0.]	1			
				[ 0.  0.  0.  1.]	1			
				[-0.  1.  0. -0.]	1			
				[ 0.  0.  0. -1.]	1			
				[ 0. -0.  1.  1.]	1			
				[ 1.  1.  1.  1.]	1			
				[-1. -1. -1. -0.]	1			
				[ 0.  0.  1.  0.]	1			
32	 2.10	 3.22	std	[-0.  1.  0.  0.]	2	 0.64	 0.33	 0.36
				[ 0. -0.  0.  1.]	2			
				[ 0.  0. -1.  0.]	2			
				[-1. -0.  0. -0.]	1			
				[-0.  0.  1.  0.]	1			
				[ 0. -1.  0. -0.]	1			
				[-0.  1. -1. -1.]	1			
33	 2.15	 3.32	std	[ 1.  0. -0. -0.]	2	 0.51	 0.32	 0.16
				[ 0. -1. -1.  1.]	1			
				[ 0.  0. -1. -0.]	1			
				[-0.  1. -0.  1.]	1			
				[ 0.  1.  0. -1.]	1			
				[-1. -0.  0. -0.]	1			
				[-1. -0. -1. -0.]	1			
				[-0. -0. -0. -1.]	1			
				[-0.  0.  0.  1.]	1			
34	 2.20	 3.42	std	[ 0.  0. -1. -0.]	2	 0.63	 0.32	 0.30
				[ 0. -1. -0. -0.]	2			
				[ 0.  1. -0.  1.]	1			
				[ 0.  1.  0.  0.]	1			
				[-0. -0.  0. -1.]	1			
				[-1.  0.  1.  1.]	1			
				[-0. -0.  1.  0.]	1			
				[ 0.  1. -1. -0.]	1			
35	 2.25	 3.52	std	[-0. -0.  1.  0.]	3	 0.62	 0.36	 0.37
				[-1. -0.  0.  0.]	2			
				[-1. -0.  1.  0.]	1			
				[ 0.  1. -1.  1.]	1			
				[-0. -1. -0. -0.]	1			
				[ 1. -0.  1.  0.]	1			
				[-0.  0. -1. -0.]	1			
36	 2.30	 3.62	std	[-0.  0.  1.  0.]	2	 0.64	 0.31	 0.29
				[ 0. -1. -0.  0.]	2			
				[ 0. -0. -0. -1.]	1			
				[-1. -0. -0.  0.]	1			
				[ 1.  0.  1. -0.]	1			
				[ 0. -1. -0.  1.]	1			
				[ 0.  0.  1.  1.]	1			
				[ 0.  0. -1. -0.]	1			
37	 2.35	 3.72	std	[-0. -0. -1. -0.]	3	 0.73	 0.36	 0.41
				[ 1. -0.  0. -0.]	2			
				[-1. -0.  1. -0.]	1			
				[-0.  1.  1.  0.]	1			
				[ 0.  1.  1.  1.]	1			
				[-1. -1. -0.  0.]	1			
				[ 0.  1. -1. -0.]	1			
38	 2.41	 3.82	std	[-0.  0. -0.  1.]	2	 0.62	 0.34	 0.37
				[-0. -0.  0. -1.]	2			
				[-0.  1.  0. -0.]	2			
				[-1.  1. -0. -1.]	1			
				[ 0. -0. -1.  0.]	1			
				[-0.  1.  0.  1.]	1			
				[ 0. -1. -1. -0.]	1			
39	 2.47	 3.92	std	[ 1.  1.  1. -0.]	1	 0.74	 0.37	 0.23
				[-1.  0. -0. -0.]	1			
				[-0. -1.  0.  0.]	1			
				[ 1. -1. -1.  0.]	1			
				[ 1.  1. -1.  0.]	1			
				[-1.  0.  1. -0.]	1			
				[-1. -0.  0. -1.]	1			
				[-0.  0. -0.  1.]	1			
				[-0.  1.  1.  0.]	1			
				[-0. -0. -0. -1.]	1			
40	 2.52	 4.02	std	[-0. -0. -0.  1.]	2	 0.63	 0.35	 0.31
				[ 0. -0. -1.  0.]	2			
				[ 0.  0.  0. -1.]	1			
				[ 0.  1.  0. -0.]	1			
				[ 0. -0.  1.  1.]	1			
				[-0. -0.  1.  0.]	1			
				[-1.  0. -0.  0.]	1			
				[ 1.  1. -0.  0.]	1			
41	 2.58	 4.12	std	[-1.  0. -0. -0.]	2	 0.71	 0.34	 0.24
				[ 0. -1. -0. -1.]	2			
				[ 0.  0. -0. -1.]	1			
				[-0.  1.  0. -0.]	1			
				[-0. -1.  0.  1.]	1			
				[-1. -1.  0. -0.]	1			
				[ 1.  0. -0. -0.]	1			
				[ 1.  0.  1.  1.]	1			
42	 2.64	 4.22	std	[-1. -1. -0.  0.]	2	 0.69	 0.36	 0.19
				[-0.  0.  0.  1.]	2			
				[ 0. -1.  0.  1.]	1			
				[ 1. -0.  0. -0.]	1			
				[-1. -0. -0. -1.]	1			
				[-1. -0.  0.  1.]	1			
				[ 1.  0.  1. -0.]	1			
				[ 0.  0.  1.  0.]	1			
43	 2.70	 4.32	std	[ 0.  1.  0.  0.]	2	 0.53	 0.32	 0.14
				[-1. -0.  0.  0.]	1			
				[ 0.  0. -0. -1.]	1			
				[ 1.  0. -0. -1.]	1			
				[ 1.  0.  0.  0.]	1			
				[-0. -0.  1.  0.]	1			
				[-0.  0.  1.  1.]	1			
				[-0.  0. -1. -0.]	1			
				[ 1.  0.  1.  0.]	1			
44	 2.77	 4.42	std	[ 1.  0. -0. -1.]	2	 0.74	 0.34	 0.00
				[ 0.  1.  0. -0.]	2			
				[ 0.  1. -1. -0.]	1			
				[ 1.  0. -0. -0.]	1			
				[-0.  0.  1. -0.]	1			
				[ 0. -0. -0. -1.]	1			
				[-0. -0. -1.  1.]	1			
				[ 0. -1. -0.  1.]	1			
45	 2.83	 4.52	std	[ 0.  0.  0. -1.]	2	 0.64	 0.34	 0.24
				[-1.  0.  0. -0.]	2			
				[ 1.  0.  0. -0.]	1			
				[-0.  1. -0. -0.]	1			
				[ 0. -0. -1.  1.]	1			
				[-1.  0. -0. -1.]	1			
				[-0.  1.  1.  0.]	1			
				[-0.  0.  1. -0.]	1			
46	 2.90	 4.62	std	[-0. -0. -1.  0.]	2	 0.76	 0.33	 0.38
				[ 1. -1.  0. -1.]	1			
				[-0. -1. -1.  1.]	1			
				[ 1.  1. -1.  1.]	1			
				[ 0. -1. -1. -1.]	1			
				[-0.  0.  1.  0.]	1			
				[ 0. -0.  0. -1.]	1			
				[ 0. -1. -0.  1.]	1			
				[-1.  0.  0.  0.]	1			
47	 2.97	 4.72	std	[ 1. -0.  0.  0.]	2	 0.90	 0.35	 0.47
				[-0. -0.  1. -0.]	1			
				[-1.  0. -0. -0.]	1			
				[-0.  0.  0. -1.]	1			
				[-0. -1.  0. -0.]	1			
				[ 0. -0. -1.  0.]	1			
				[-0.  0. -0.  1.]	1			
				[ 1. -0. -1.  1.]	1			
				[-1.  0.  1.  1.]	1			
48	 3.04	 4.82	std	[ 0. -0.  0. -1.]	2	 0.62	 0.33	 0.36
				[-0.  0. -0.  1.]	2			
				[-0. -0.  1. -1.]	1			
				[-1.  0. -1.  1.]	1			
				[-1. -1.  1.  0.]	1			
				[ 1. -0.  0.  0.]	1			
				[-0. -0. -1.  0.]	1			
				[ 0.  0.  1.  1.]	1			
49	 3.11	 4.92	std	[ 1. -0.  0.  0.]	2	 0.71	 0.36	 0.24
				[-1.  0. -0.  0.]	1			
				[-0.  1. -0. -1.]	1			
				[-1.  1. -0.  1.]	1			
				[-0.  1.  0.  0.]	1			
				[-0.  0.  1. -0.]	1			
				[-0.  0. -1.  0.]	1			
				[ 0. -1. -0. -1.]	1			
				[ 1. -1. -0. -0.]	1			
50	 3.18	 5.03	std	[-0. -0.  0. -1.]	2	 0.77	 0.34	 0.38
				[-0.  0. -0.  1.]	2			
				[ 0.  0.  1.  0.]	2			
				[ 1. -0. -0. -0.]	1			
				[ 0. -1.  0.  0.]	1			
				[-1.  1. -0. -1.]	1			
				[-1. -0. -0.  0.]	1			
51	 3.26	 5.13	std	[-0.  0.  1.  0.]	3	 0.73	 0.36	 0.31
				[ 0. -0. -0. -1.]	2			
				[ 1.  1. -0. -0.]	1			
				[-0.  1. -0. -0.]	1			
				[-1. -1. -2. -0.]	1			
				[ 1.  0. -0.  0.]	1			
				[-0. -1. -1.  0.]	1			
52	 3.33	 5.23	std	[-0. -1.  0. -0.]	1	 0.78	 0.36	 0.37
				[-0. -1. -1. -0.]	1			
				[ 0.  0.  1. -0.]	1			
				[ 1. -1. -0. -1.]	1			
				[-0. -1.  1. -0.]	1			
				[-0.  0. -0.  1.]	1			
				[-0. -1.  1.  1.]	1			
				[ 0.  1. -0. -0.]	1			
				[-1.  1.  0. -0.]	1			
				[ 0.  0. -1.  0.]	1			
53	 3.41	 5.33	std	[ 0. -1.  0. -0.]	2	 0.78	 0.34	 0.26
				[-0.  0. -0. -1.]	1			
				[ 0.  0. -1.  0.]	1			
				[-1.  0. -0.  0.]	1			
				[ 0. -1.  1.  1.]	1			
				[ 1.  0.  1. -0.]	1			
				[-0.  0.  0.  1.]	1			
				[ 1.  0. -0. -0.]	1			
				[ 0. -1. -1.  0.]	1			
54	 3.49	 5.43	std	[ 0. -1.  0.  0.]	3	 0.67	 0.35	 0.49
				[ 0.  1. -0. -0.]	1			
				[-0. -1. -1. -1.]	1			
				[-0. -0.  1.  0.]	1			
				[-1.  1.  0.  1.]	1			
				[-1. -0.  1. -0.]	1			
				[ 0. -0. -0.  1.]	1			
				[-0.  1. -1.  0.]	1			
55	 3.57	 5.53	std	[ 1. -0.  0.  0.]	2	 0.85	 0.35	 0.50
				[-1. -0. -0.  0.]	1			
				[-0. -1. -0. -1.]	1			
				[ 1. -0.  0.  1.]	1			
				[ 0.  1.  0.  0.]	1			
				[ 0. -0. -0. -1.]	1			
				[-1. -1. -0.  0.]	1			
				[ 0. -1.  0. -0.]	1			
				[ 1.  0. -1. -1.]	1			
